"x","y","z","parcel"
-38.4305763244629,6.04252815246582,-20.7793788909912,"L_TP1_A"
-23.7082557678223,5.23220300674438,-22.1657772064209,"L_TP1_A"
-36.848014831543,6.19979190826416,-19.5597667694092,"L_TP1_A"
-33.7714805603027,7.00128602981567,-20.2015724182129,"L_TP1_A"
-37.8723907470703,8.94745635986328,-20.7887649536133,"L_TP1_A"
-34.7808074951172,9.77691555023193,-33.12158203125,"L_TP1_B"
-28.3595428466797,9.45208072662354,-32.9514236450195,"L_TP1_B"
-32.0529251098633,7.20934200286865,-30.9974727630615,"L_TP1_B"
-24.9558162689209,11.163293838501,-30.5164546966553,"L_TP1_B"
-25.1591968536377,7.3799901008606,-30.2914714813232,"L_TP1_B"
-28.0944557189941,10.7699308395386,-33.3669357299805,"L_TP1_B"
-35.8225784301758,11.4368572235107,-33.9073448181152,"L_TP1_B"
-32.3933258056641,12.3775405883789,-34.5353889465332,"L_TP1_B"
-29.0190601348877,13.9175682067871,-35.1357269287109,"L_TP1_B"
-34.4407653808594,13.5179271697998,-35.6497344970703,"L_TP1_B"
-26.4304313659668,15.4993686676025,-32.2681350708008,"L_TP1_B"
-34.8900947570801,15.1758136749268,-35.8729438781738,"L_TP1_B"
-36.4607543945312,15.443528175354,-32.8446846008301,"L_TP1_B"
-32.6854705810547,15.4341564178467,-31.0661697387695,"L_TP1_B"
-37.6803665161133,15.3593921661377,-28.8786888122559,"L_TP1_B"
-38.2384872436523,12.7725620269775,-28.0394706726074,"L_TP1_B"
-37.1907997131348,10.0647048950195,-27.8801136016846,"L_TP1_B"
-38.3250045776367,10.797945022583,-26.0751857757568,"L_TP1_B"
-36.6922912597656,13.453145980835,-23.6057949066162,"L_TP1_B"
-36.1321983337402,11.5804996490479,-24.8269748687744,"L_TP1_B"
-34.0040130615234,12.1558303833008,-25.2237720489502,"L_TP1_B"
-36.5672073364258,15.3605737686157,-24.0976390838623,"L_TP1_B"
-34.3291931152344,15.3155508041382,-26.9434204101562,"L_TP1_B"
-32.299259185791,14.964674949646,-29.8969402313232,"L_TP1_B"
-32.0866394042969,13.3362302780151,-29.2484836578369,"L_TP1_B"
-27.1583118438721,15.1996650695801,-30.6915721893311,"L_TP1_B"
-25.9243011474609,12.7558927536011,-30.2117099761963,"L_TP1_B"
-25.2860164642334,9.92748641967773,-28.5174446105957,"L_TP1_B"
-36.6159820556641,8.95051574707031,-29.343433380127,"L_TP1_B"
-34.6277351379395,7.78729820251465,-29.9163360595703,"L_TP1_B"
-27.757661819458,6.92020511627197,-30.9730567932129,"L_TP1_B"
-29.2207183837891,7.68676280975342,-29.6031894683838,"L_TP1_B"
-37.3878440856934,12.1441812515259,-32.921630859375,"L_TP1_B"
-27.9357032775879,15.0147151947021,-34.795482635498,"L_TP1_B"
-25.8404560089111,13.7475023269653,-32.3510627746582,"L_TP1_B"
-30.9792881011963,8.92862415313721,-27.4791698455811,"L_TP1_B"
-35.6300811767578,8.02358055114746,-30.9960098266602,"L_TP1_B"
-38.451286315918,13.6151371002197,-29.7531089782715,"L_TP1_B"
-24.7103309631348,8.12992286682129,-28.8604202270508,"L_TP1_B"
-26.2864742279053,8.72533893585205,-28.1004543304443,"L_TP1_B"
