"x","y","z"
-17.603443145752,-40.8216857910156,1.26064896583557
-17.6454887390137,-37.0734443664551,2.64241695404053
-17.5714588165283,-35.3021621704102,-4.03497695922852
-17.9614887237549,-35.715202331543,-1.39872205257416
-19.0858402252197,-36.4548645019531,4.05539798736572
-21.5705718994141,-35.7541999816895,-0.857725977897644
-20.3380661010742,-34.1964721679688,-3.77145504951477
-24.3627681732178,-35.3044166564941,-1.97341799736023
-23.5368499755859,-33.8027725219727,-3.94069910049438
-31.0100250244141,-38.0663414001465,-4.75302505493164
-28.1679935455322,-33.4259490966797,-4.77339506149292
-30.644229888916,-33.1046257019043,-4.27636003494263
-30.2118453979492,-32.4150466918945,-5.96277618408203
-25.6869125366211,-35.6787757873535,-6.70240306854248
-27.706636428833,-34.6015472412109,-6.0743899345398
-23.6442928314209,-37.5055618286133,-5.87771606445312
-23.1137886047363,-39.5100860595703,-3.76775789260864
-31.2385349273682,-37.3528022766113,-3.30181694030762
-29.7403583526611,-35.9132041931152,-2.1300060749054
-22.5021781921387,-35.3251075744629,-6.72276020050049
-22.2684574127197,-33.5597038269043,-5.80705785751343
-19.5699443817139,-35.6104888916016,-5.56298494338989
-27.4000110626221,-33.6477851867676,-3.07668399810791
-33.2023048400879,-34.4036178588867,-4.90465307235718
-20.3393115997314,-38.3474540710449,-3.36028409004211
-18.091028213501,-38.0646743774414,-2.89885592460632
-25.7667560577393,-34.1907806396484,-4.44710397720337
-29.2383766174316,-39.0556564331055,0.249301001429558
-20.8621044158936,-41.9619216918945,-0.265673995018005
-22.7101802825928,-41.9288444519043,-0.626075029373169
-25.7563457489014,-39.4905433654785,2.91850709915161
-21.7139511108398,-36.1472702026367,3.10962700843811
-20.0374240875244,-39.0111694335938,6.68509483337402
-20.6487731933594,-35.7734794616699,5.78497791290283
-26.4193572998047,-35.4304008483887,-0.846852004528046
-23.8074226379395,-36.5676383972168,4.04122495651245
-20.5517692565918,-36.7178039550781,6.71979188919067
-27.7985668182373,-35.9164657592773,-0.168467998504639
-18.9264755249023,-42.1122360229492,2.79218888282776
-20.7272853851318,-42.0674629211426,2.27450895309448
-22.4109764099121,-42.5774154663086,1.47987294197083
-22.9819583892822,-40.5564804077148,4.78546476364136
-27.753604888916,-38.0810050964355,1.63693499565125
-22.567253112793,-38.5779037475586,5.93808221817017
-29.745906829834,-6.50634813308716,-20.0587368011475
-28.4306640625,-7.9258770942688,-18.8179321289062
-27.5513896942139,-8.0456953048706,-20.2197151184082
-30.3011722564697,-5.15636396408081,-20.6026439666748
-15.6982746124268,-6.32275676727295,-20.4778499603271
-17.5912342071533,-8.05306053161621,-20.2311668395996
-28.8318309783936,3.12119007110596,-17.9416408538818
-26.1090393066406,0.697012007236481,-17.0112800598145
-29.7839469909668,0.573969006538391,-18.4642868041992
-32.9050979614258,-4.10197591781616,-19.0231857299805
-30.0592708587646,-3.79012799263,-16.0954303741455
-26.8588809967041,-5.49295997619629,-13.8961896896362
-28.91845703125,-6.49885177612305,-17.0539169311523
